,t_ArticleName,t_Url,t_DOI,t_PublishedDate,t_SourceTitle,t_Authors,t_Type,t_Keyword1,t_Keyword2,t_ID
20,Quantitative analysis of victim demographics and injury characteristics at a metropolitan Medico-Legal Center,http://www.sciencedirect.com/science/article/pii/S0379073809001261/pdfft?md5=a718d748dc08fa47184b240210560ef9&pid=1-s2.0-S0379073809001261-main.pdf,10.1016/j.forsciint.2009.03.011,7/1/09,Forensic Science International,D. Seifert & A. Lambe & S. Anders & K. Pueschel & A. Heinemann,Research article,Blunt trauma,Testing,105831
21,<ce:markerÂ name=cmeÂ alt=Continuing Medical EducationÂ altimg=cme_o.gifÂ altimg-small=cme_s.gif></ce:marker>Trends in Skin and Soft Tissue-Related Injuries in NOLS Wilderness Expeditions from 1984 to 2012,http://www.sciencedirect.com/science/article/pii/S1080603217301928/pdfft?md5=4bb9804b55fb65e598d9268b4934c49d&pid=1-s2.0-S1080603217301928-main.pdf,10.1016/j.wem.2017.06.005,12/31/17,Wilderness & Environmental Medicine,Kimberly A. Stanford & Lara Phillips & Yuchiao Chang & Drew Leemon & N. Stuart Harris,Research article,Blunt trauma,Testing,106665
22,"Perforated duodenal ulcer in a 2,100 gram female infant, with survival",http://www.sciencedirect.com/science/article/pii/0002961059903174/pdfft?md5=e06584317e9b3fccdd1e0667686829af&pid=1-s2.0-0002961059903174-main.pdf,10.1016/0002-9610(59)90317-4,3/31/59,The American Journal of Surgery,John E. Lyday & Marguerite Markarian & Jonathan E. Rhoads,Short communication,Blood loss,Neutrophils,22764
23,Combined Blunt-Clamp Dissection and LigaSure Ligation for Hepatic Parenchyma Dissection: Postcoagulation Technique,http://www.sciencedirect.com/science/article/pii/S1072751509014513/pdfft?md5=92045457de40ec16b1d922bfa79cc0b0&pid=1-s2.0-S1072751509014513-main.pdf,10.1016/j.jamcollsurg.2009.09.035,1/31/10,Journal of the American College of Surgeons,Leonardo Patrlj & Scott Tuorto & Yuman Fong,Research article,Disseminated intravascular coagulation,(NO),254283
24,Neurologic Injuries in Hockey,http://www.sciencedirect.com/science/article/pii/S0733861907001399/pdfft?md5=72aec781ab0e09675026051f2d6ef142&pid=1-s2.0-S0733861907001399-main.pdf,10.1016/j.ncl.2007.12.002,2/29/08,Neurologic Clinics,Richard A. Wennberg & Howard B. Cohen & Stephanie R. Walker,Review article,Blunt trauma,Risk factors,11341
25,MDPV and Î±-PVP use in humans: The twisted sisters,http://www.sciencedirect.com/science/article/pii/S0028390817304744/pdfft?md5=a4615ad6a3945861bb93277a785921a5&pid=1-s2.0-S0028390817304744-main.pdf,10.1016/j.neuropharm.2017.10.007,5/15/18,Neuropharmacology,Laurent Karila & GeneviÃ¨ve Lafaye & Amandine Scocard & Olivier Cottencin & Amine Benyamina,Review article,Disseminated intravascular coagulation,(NO),253333
26,Angiomyoma and Vascular Ectasia of the Small Bowel as a Cause of Intestinal Bleeding,http://www.sciencedirect.com/science/article/pii/S0344033888801080/pdfft?md5=6ae08432b622e34cc5b7d11a5bdc2e21&pid=1-s2.0-S0344033888801080-main.pdf,10.1016/S0344-0338(88)80108-0,8/31/88,Pathology - Research and Practice,V. GÄƒdÄƒleanu & V. Popescu,Research article,Hemorrhagic shock,Pathologic,317314
27,Noteworthy References,http://www.sciencedirect.com/science/article/pii/S0001209208705921/pdfft?md5=25ef593d2f6fc68b1a17c1267c363373&pid=1-s2.0-S0001209208705921-main.pdf,10.1016/S0001-2092(08)70592-1,6/30/66,AORN Journal,CANNOT GET ACCESS,,Hemorrhagic shock,Pathogenic,312877
28,"Pelvic lymphadenectomy for cervical carcinoma: Laparotomy extraperitoneal, transperitoneal or laparoscopic approach? A randomized study",http://www.sciencedirect.com/science/article/pii/S0090825806004215/pdfft?md5=b11beb6bbdfadfaa22c8d8b71e3486e4&pid=1-s2.0-S0090825806004215-main.pdf,10.1016/j.ygyno.2006.05.025,12/31/06,Gynecologic Oncology,Pierluigi Benedetti Panici & Francesco Plotti & Marzio Angelo Zullo & Ludovico Muzii & Roberto Angioli,Research article,Blood loss,Neutrophils,19615
29,"Complications of cardiac resuscitation : Krischer, J.P., Fine, E.G., Davis, J.H., Nagel, E.L. Department of Pediatrics, University of Florida, Gainesville, FL, U.S.A. CHEST, 92(2) (1987) 287â€“291",http://www.sciencedirect.com/science/article/pii/0300957288900615/pdfft?md5=6791699b3bcb60322767503c012d7728&pid=1-s2.0-0300957288900615-main.pdf,10.1016/0300-9572(88)90061-5,7/31/88,Resuscitation,CANNOT GET ACCESS,,Hemorrhagic shock,Pathologic,317101
30,Unusual suicides of young women with tentative cuts and fatal neck injuries by chain saw and circular saw,http://www.sciencedirect.com/science/article/pii/S0379073809002400/pdfft?md5=b09adfbb62a98c3c03aaabbe3f5ab412&pid=1-s2.0-S0379073809002400-main.pdf,10.1016/j.forsciint.2009.05.019,9/10/09,Forensic Science International,Wolfgang Grellner & Jochen Wilske,Short communication,Hemorrhagic shock,(NO),231910
31,Mothers' Knowledge Levels Related to Poisoning,http://www.sciencedirect.com/science/article/pii/S2452247316600055/pdfft?md5=0693570aa7092f42a9412f41e1f16212&pid=1-s2.0-S2452247316600055-main.pdf,10.5505/1304.7361.2014.25582,3/31/15,Turkish Journal of Emergency Medicine,Birsen BILGEN SIVRI & Funda OZPULAT,Research article,Disseminated intravascular coagulation,(NO),255983
32,Author Index,http://www.sciencedirect.com/science/article/pii/S0885392413006350/pdfft?md5=1fcf67030c410fa5fa74973a96378341&pid=1-s2.0-S0885392413006350-main.pdf,10.1016/S0885-3924(13)00635-0,12/31/13,Journal of Pain and Symptom Management,CANNOT GET ACCESS,,Hemorrhagic shock,Diagnosis,34055
33,Does Pc-Spes Interact With Warfarin?,http://www.sciencedirect.com/science/article/pii/S0022534705652093/pdfft?md5=7aaa36bd5749f347b7fcca0eb95ae2da&pid=1-s2.0-S0022534705652093-main.pdf,10.1016/S0022-5347(05)65209-3,4/30/02,The Journal of Urology,Nancy B. Davis & Linda Nahlik & Nicholas J. Vogelzang,Short communication,Disseminated intravascular coagulation,(NO),255369
34,Rupture d'unÂ anÃ©vrisme infectieux Ã Â <ce:italic>ListeriaÂ monocytogenes</ce:italic> deÂ l'artÃ¨re mÃ©sentÃ©rique infÃ©rieure,http://www.sciencedirect.com/science/article/pii/S0003394406001143/pdfft?md5=d485cf4574a3549256ce9b67c9414a0e&pid=1-s2.0-S0003394406001143-main.pdf,10.1016/j.anchir.2006.04.006,12/31/06,Annales de Chirurgie,P. Sockeel & C. Bredin & L. Allanic & P. David & P. Michel,Short communication,Hemorrhagic shock,Diagnostic,45063
35,Repeated Fluid-Gas Exchange for Hypotony After Vitreoretinal Surgery for Proliferative Vitreoretinopathy,http://www.sciencedirect.com/science/article/pii/0002939488908264/pdfft?md5=652643e1a6afe08e727d168a9231950f&pid=1-s2.0-0002939488908264-main.pdf,10.1016/0002-9394(88)90826-4,8/31/88,American Journal of Ophthalmology,Jay B. Stallman & Sanford M. Meyers,Research article,Blunt trauma,Sodium,25339
36,Index 1994,http://www.sciencedirect.com/science/article/pii/S0886335013806797/pdfft?md5=38d1585d4b6ef69f357a9573b7b7d83d&pid=1-s2.0-S0886335013806797-main.pdf,10.1016/S0886-3350(13)80679-7,11/30/94,Journal of Cataract & Refractive Surgery,CANNOT GET ACCESS,,Blunt trauma,Ultrasound,156026
37,High- versus low-dose erythropoietin in extremely low birth weight infants,http://www.sciencedirect.com/science/article/pii/S0022347698703208/pdfft?md5=e8b9db7c126bda82ad6e86d06bc79417&pid=1-s2.0-S0022347698703208-main.pdf,10.1016/S0022-3476(98)70320-8,5/31/98,The Journal of Pediatrics,Rolf F. Maier & Michael Obladen & Evelyn Kattner & JÃ_rgen Natzschka & On behalf of the European Multicenter rhEPO Study Group*,Research article,Blood loss,Neutrophils,19997
38,Influence of heparin cofactor II (HCII) on the determination of antithrombin III (AT),http://www.sciencedirect.com/science/article/pii/0049384885902944/pdfft?md5=5b57aa1073435ffb330ea4173e8b5402&pid=1-s2.0-0049384885902944-main.pdf,10.1016/0049-3848(85)90294-4,11/15/85,Thrombosis Research,Tri H. Tran & F. Duckert,Short communication,Disseminated intravascular coagulation,IgG,90300
39,Reconstruction of trochanteric pressure sores with pedicled anterolateral thigh myocutaneous flaps,http://www.sciencedirect.com/science/article/pii/S1748681510005413/pdfft?md5=bc92b99aea040dbf80ef507f6f71f669&pid=1-s2.0-S1748681510005413-main.pdf,10.1016/j.bjps.2010.08.042,5/31/11,"Journal of Plastic, Reconstructive & Aesthetic Surgery",Chih-Hsin Wang & Shih-Yi Chen & Ju-Peng Fu & Niann-Tzyy Dai & Shyi-Gen Chen,Research article,Hemorrhagic shock,(NO),231363
40,Preoperative Thienopyridine Use and Outcomes after Surgery: A Systematic Review,http://www.sciencedirect.com/science/article/pii/S0002934311006772/pdfft?md5=3083e146fcae8070a19219c8027284f4&pid=1-s2.0-S0002934311006772-main.pdf,10.1016/j.amjmed.2011.07.038,1/31/12,The American Journal of Medicine,Anita G. Au & Sumit R. Majumdar & Finlay A. McAlister,Research article,Hemorrhagic shock,Platelets,286398
41,Intraperitoneal chloroprocaine is a useful adjunct to neuraxial block during cesarean delivery: a case series,http://www.sciencedirect.com/science/article/pii/S0959289X17303205/pdfft?md5=2f410b2bb49f5ee8c015671c958aa05f&pid=1-s2.0-S0959289X17303205-main.pdf,10.1016/j.ijoa.2018.01.007,8/31/18,International Journal of Obstetric Anesthesia,M. Werntz & R. Burwick & B. Togioka,Research article,Blood loss,Neutrophils,20060
42,The use of mechanical ventilation in the ED,http://www.sciencedirect.com/science/article/pii/S0735675711004220/pdfft?md5=7f6ea6ab4c3f0eddd7f532515d299422&pid=1-s2.0-S0735675711004220-main.pdf,10.1016/j.ajem.2011.09.008,9/30/12,The American Journal of Emergency Medicine,Benjamin D. Easter & Christopher Fischer & Jonathan Fisher,Research article,Blunt trauma,Risk factors,11470
43,Russian war surgery in 1812: 200 years since Russia's war triumph,http://www.sciencedirect.com/science/article/pii/S1743919112008151/pdfft?md5=c7fd234ab861baf72018ea4fffa0049b&pid=1-s2.0-S1743919112008151-main.pdf,10.1016/j.ijsu.2012.11.001,12/31/12,International Journal of Surgery,Leo A. BoÑÅkeria & Sergey P. Glyantsev & Yan G. Kolesnikov,Research article,Hemorrhagic shock,Potassium,291795
44,Sex differences in the perpetrator-victim relationship among emergency department patients presenting with nonfatal firearm-related injuries,http://www.sciencedirect.com/science/article/pii/S0196064403005092/pdfft?md5=3e2170b3f40eb898f18f9b9305f9249c&pid=1-s2.0-S0196064403005092-main.pdf,10.1016/S0196-0644(03)00509-2,9/30/03,Annals of Emergency Medicine,Douglas J. Wiebe,Research article,Blunt trauma,Risk factors,11809
45,Ocular Injury Caused by an Air Bag for a Driver Wearing Eyeglasses,http://www.sciencedirect.com/science/article/pii/S0021515599000076/pdfft?md5=c4f051cca8777c94454bc7215ab18bb6&pid=1-s2.0-S0021515599000076-main.pdf,10.1016/S0021-5155(99)00007-6,6/30/99,Japanese Journal of Ophthalmology,Yasuo Tsuda & Harumi Wakiyama & Tsugio Amemiya,Short communication,Blunt trauma,Risk factors,10940
46,Tricuspid valve avulsion or excision for right ventricular decompression in pulmonary atresia with intact ventricular septum,http://www.sciencedirect.com/science/article/pii/S0022522319345246/pdfft?md5=d5c7df18b1c264b6644c643717a6e2da&pid=1-s2.0-S0022522319345246-main.pdf,10.1016/S0022-5223(19)34524-6,5/31/89,The Journal of Thoracic and Cardiovascular Surgery,Cosimo Squitieri & Duccio di Carlo & Salvatore Giannico & Bruno Marino & Carlo Marcelletti,Research article,Hemorrhagic shock,Diagnosis,33592
47,Athrombogenic left ventricular bypass,http://www.sciencedirect.com/science/article/pii/0002961069901275/pdfft?md5=4830130c1d2b44ee3c9c0be52d43c8d7&pid=1-s2.0-0002961069901275-main.pdf,10.1016/0002-9610(69)90127-5,8/31/69,The American Journal of Surgery,William Dietrick & Akio Wakabayashi & John E. Connolly,Research article,Hemorrhagic shock,Hemoglobin,95202
48,Causes of death in five hundred thirty-three fatal cases of toxemia of pregnancy,http://www.sciencedirect.com/science/article/pii/0002937854904779/pdfft?md5=1de4b351f3cecf4a786e63ca3a0e8568&pid=1-s2.0-0002937854904779-main.pdf,10.1016/0002-9378(54)90477-9,7/31/54,American Journal of Obstetrics and Gynecology,James F. Donnelly & Frank R. Lock,Research article,Hemorrhagic shock,Pathologic,318587
49,Transscleral fixation of a black diaphragm intraocular lens in severely traumatized eyes requiring vitreoretinal surgery,http://www.sciencedirect.com/science/article/pii/S088633500700867X/pdfft?md5=908522b5e9351cca94b7e56fcb231e7b&pid=1-s2.0-S088633500700867X-main.pdf,10.1016/j.jcrs.2007.04.030,8/31/07,Journal of Cataract & Refractive Surgery,Zeynep Ozbek & Suleyman Kaynak & Ozgur Zengin,Short communication,Blunt trauma,Ultrasound,155881
50,"Ballistic impact response of laminated hybrid materials made of 5086-H32 aluminum alloy, epoxy and KevlarÂ® fabrics impregnated with shear thickening fluid",http://www.sciencedirect.com/science/article/pii/S1359835X16300744/pdfft?md5=20e3c9989ad06234f257e55d1457f117&pid=1-s2.0-S1359835X16300744-main.pdf,10.1016/j.compositesa.2016.04.007,8/31/16,Composites Part A: Applied Science and Manufacturing,Edison E. Haro & Jerzy A. Szpunar & Akindele G. Odeshi,Research article,Blunt trauma,Temperature,131440
51,Abortion complicated by clostridium perfringens infection,http://www.sciencedirect.com/science/article/pii/0002937871904649/pdfft?md5=db90ae6d7e210b663440e7b5f7a83774&pid=1-s2.0-0002937871904649-main.pdf,10.1016/0002-9378(71)90464-9,10/15/71,American Journal of Obstetrics and Gynecology,Jack A. Pritchard & Peggy J. Whalley,Research article,Disseminated intravascular coagulation,Lactate,150294
52,Trauma and nontrauma cardiopulmonary arrest: A national survey,http://www.sciencedirect.com/science/article/pii/S1067991X95900969/pdfft?md5=e5d3c53c58e257935475e3da19138033&pid=1-s2.0-S1067991X95900969-main.pdf,10.1016/S1067-991X(95)90096-9,6/30/95,Air Medical Journal,Holly Herron & Rita Johnson & Susan Childress & Robert E. Falcone,Research article,Blunt trauma,Testing,106417
53,Results from emergency surgery for massively bleeding duodenal ulcer,http://www.sciencedirect.com/science/article/pii/0002961068904893/pdfft?md5=4f67e0137cd476142112157b89ceb61d&pid=1-s2.0-0002961068904893-main.pdf,10.1016/0002-9610(68)90489-3,8/31/68,The American Journal of Surgery,Edward N. Snyder & C. Anthony Stellar,Research article,Hemorrhagic shock,Hemoglobin,94900
54,Misoprostol for intrauterine fetal death,http://www.sciencedirect.com/science/article/pii/S0020729207005139/pdfft?md5=2bdc6eae03da1e553941b6e0be2c63da&pid=1-s2.0-S0020729207005139-main.pdf,10.1016/j.ijgo.2007.09.010,12/31/07,International Journal of Gynecology & Obstetrics,R. GÃ_mez Ponce de LeÃ_n & D. Wing & C. Fiala,Review article,Disseminated intravascular coagulation,(NO),250778
55,Protein kinase A activators and the pan-PPAR agonist tetradecylthioacetic acid elicit synergistic anti-leukaemic effects in AML through CREB,http://www.sciencedirect.com/science/article/pii/S0145212609004652/pdfft?md5=8c4d3590ce78e8913221b3f5a6b3eee2&pid=1-s2.0-S0145212609004652-main.pdf,10.1016/j.leukres.2009.09.005,1/31/10,Leukemia Research,Bjarte Skoe Erikstein & Emmet McCormack & Karl Johan Tronstad & Frank Schwede & BjÃ¸rn Tore Gjertsen,Research article,Disseminated intravascular coagulation,Neutrophils,210715
56,Dorsal Approach Decreases Operative Time for Complex Metacarpophalangeal Dislocations,http://www.sciencedirect.com/science/article/pii/S0363502316301939/pdfft?md5=e03e6454bec3bb9710f76d15c77ff92a&pid=1-s2.0-S0363502316301939-main.pdf,10.1016/j.jhsa.2016.05.020,9/30/16,The Journal of Hand Surgery,Cathryn J. Vadala & Christina M. Ward,Research article,Blunt trauma,Testing,103520
57,A case of placenta accreta,http://www.sciencedirect.com/science/article/pii/S0002937831905991/pdfft?md5=0a12034fddf3344e79ffdee561516016&pid=1-s2.0-S0002937831905991-main.pdf,10.1016/S0002-9378(31)90599-1,7/31/31,American Journal of Obstetrics and Gynecology,Arthur Charles Tiemeyer,Research article,Hemorrhagic shock,Pathologic,315785
58,Unusual retinal abnormalities in sisters with tetralogy of Fallot,http://www.sciencedirect.com/science/article/pii/S1091853114004534/pdfft?md5=e8e1f0a81a334dbb3d48093d6b1ca0ea&pid=1-s2.0-S1091853114004534-main.pdf,10.1016/j.jaapos.2014.07.163,12/31/14,Journal of American Association for Pediatric Ophthalmology and Strabismus,Mario T. Zanolli & Jenina Capasso & Vikas Khetan & BegoÃ±a AristimuÃ±o & Alex V. Levin,Short communication,Blunt trauma,Testing,105627
59,The CCSG prospective study of venous access devices: An analysis of insertions and causes for removal,http://www.sciencedirect.com/science/article/pii/002234689290304P/pdfft?md5=495ec91c66d2e3713ee39323ad44549d&pid=1-s2.0-002234689290304P-main.pdf,10.1016/0022-3468(92)90304-P,2/29/92,Journal of Pediatric Surgery,Eugene S. Wiener & Patricia McGuire & Charles J. H. Stolar & R. Hampton^Rich & G. Denman Hammond,Research article,Blood loss,Neutrophils,22188
60,Optimal allocation of emergency medical resources in a mass casualty incident: Patient prioritization by column generation,http://www.sciencedirect.com/science/article/pii/S0377221716000734/pdfft?md5=0d78b1e2cf107396e10f2c4d7f615ee7&pid=1-s2.0-S0377221716000734-main.pdf,10.1016/j.ejor.2016.01.028,7/16/16,European Journal of Operational Research,Inkyung Sung & Taesik Lee,Research article,Hemorrhagic shock,Parameters,308521
61,Comparison of barbed and conventional sutures in adhesion formation and histological features in a rat myomectomy model: randomized single blind controlled trial,http://www.sciencedirect.com/science/article/pii/S030121151400623X/pdfft?md5=feca77522154c35155725c4efa40d8d9&pid=1-s2.0-S030121151400623X-main.pdf,10.1016/j.ejogrb.2014.11.032,2/28/15,European Journal of Obstetrics & Gynecology and Reproductive Biology,Murat Api & Aysen Boza & Muzaffer Seyhan CÄ±kman & Figen Vardar Aker & Mine Onenerk,Research article,Blood loss,Neutrophils,18518
62,The therapeutic efficacy of critical care units from two perspectives: A traditional cohort approach vs a new case-control methodology,http://www.sciencedirect.com/science/article/pii/0021968187900944/pdfft?md5=1d9bb56b251cd1809d411a28c4436954&pid=1-s2.0-0021968187900944-main.pdf,10.1016/0021-9681(87)90094-4,12/31/87,Journal of Chronic Diseases,Mary E. Charlson & Frederic L. Sax,Research article,Disseminated intravascular coagulation,Independent predictors,44167
63,Present status of the concept of oxygen differential in the etiology of ventricular fibrillation after coronary occlusion,http://www.sciencedirect.com/science/article/pii/0002870366904479/pdfft?md5=f96f843e31e10f46f928e53de0176eab&pid=1-s2.0-0002870366904479-main.pdf,10.1016/0002-8703(66)90447-9,8/31/66,American Heart Journal,Henry S. Badeer,Research article,Hemorrhagic shock,Potassium,292929
64,Anatomical and functional outcomes of canalicular laceration repair with self retaining mini-MONOKA stent,http://www.sciencedirect.com/science/article/pii/S1319453417300486/pdfft?md5=c6418b0f8b65a381be5683c729e8877c&pid=1-s2.0-S1319453417300486-main.pdf,10.1016/j.sjopt.2017.04.009,9/30/17,Saudi Journal of Ophthalmology,Md. Shahid Alam & Neha Shrirao Mehta & Bipasha Mukherjee,Research article,Blunt trauma,Testing,105343
